price,averageRating,totalReviews,cat_harddrive,cat_flashdrive,cat_tv,cat_laptop,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,rating5,Label,Score
44000.0,4.0,440.0,0.15274546,0.23804055,0.38643283,0.22278118,0.059010334,0.11464205,0.06349609,0.12937503,0.04627224,0.16289635,0.10686712,0.0767969,0.056042258,0.18460162,1,1,0.9023
117000.0,4.0,93.0,0.030520033,0.5817126,0.07721569,0.3105516,0.077027164,0.12070032,0.08054534,0.19356617,0.036349263,0.12792927,0.053275514,0.060323197,0.04402322,0.20626059,1,1,0.7039
46700.0,3.0,3.0,0.024110323,0.6663248,0.061039977,0.2485249,0.047810845,0.15614772,0.051445253,0.1680828,0.037490297,0.1636125,0.11821668,0.09385349,0.045406073,0.117934324,0,0,0.8213
32100.0,3.0,131.0,0.04162061,0.7923783,0.105296806,0.060704216,0.046345785,0.15135896,0.1725035,0.13227117,0.036341492,0.1279362,0.08393017,0.09097755,0.044014703,0.11432048,0,0,0.8864
157500.0,4.0,1405.0,0.024252726,0.87857,0.06175581,0.035421416,0.056871876,0.11024559,0.17384635,0.12443699,0.04451144,0.15661953,0.0652361,0.07389512,0.054342445,0.13999458,0,0,0.4597
2069000.0,4.0,1577.0,0.06541626,0.101945594,0.7372277,0.095410444,0.13836402,0.12068925,0.049872372,0.16291627,0.036351796,0.1892342,0.053270295,0.06031789,0.044031568,0.14495228,0,0,0.4514
1099000.0,4.0,151.0,0.024092987,0.037547097,0.69282687,0.24553306,0.101446174,0.11372231,0.046986617,0.09573651,0.0342411,0.17832288,0.10797056,0.11460917,0.041470837,0.16549386,0,1,0.7299
45000.0,4.0,69.0,0.15274546,0.23804055,0.38643283,0.22278118,0.0640083,0.12435182,0.06887398,0.14033264,0.050191335,0.17669308,0.073570296,0.08330132,0.060788836,0.15788837,1,1,0.8093
82630.0,4.0,67.0,0.06541663,0.101947084,0.7372251,0.09541115,0.05901034,0.11464206,0.0634961,0.12937504,0.046272244,0.16289635,0.067825705,0.076796904,0.05604226,0.22364299,1,1,0.888
189000.0,4.0,1533.0,0.15274546,0.23804055,0.38643283,0.22278118,0.0640083,0.12435182,0.06887398,0.14033264,0.050191335,0.17669308,0.073570296,0.08330132,0.060788836,0.15788837,1,1,0.9073
25111.0,3.0,132.0,0.065416396,0.10194597,0.16549833,0.6671393,0.054776862,0.106396966,0.05894381,0.22816572,0.042954788,0.15116933,0.06295575,0.07128424,0.08827087,0.13508162,0,0,0.8839
44444.0,4.0,2744.0,0.15274546,0.23804055,0.38643283,0.22278118,0.054741558,0.10635014,0.058905687,0.15619625,0.042926952,0.22352372,0.06291507,0.07123906,0.051989403,0.17121215,1,1,0.8298
1950000.0,4.0,13.0,0.041620623,0.06486223,0.8328129,0.060704242,0.059010334,0.11464205,0.10253748,0.12937503,0.04627224,0.20193808,0.067825705,0.0767969,0.056042258,0.14555995,1,1,0.8317
1249000.0,4.0,2575.0,0.019902203,0.031016048,0.920054,0.029027682,0.061418567,0.11929507,0.066086635,0.13461773,0.04816335,0.16949323,0.07058865,0.07992706,0.058331043,0.19207865,1,1,0.9329
55000.0,5.0,1.0,0.15274546,0.23804055,0.38643283,0.22278118,0.059010677,0.11464272,0.063496456,0.12937579,0.046272513,0.20193918,0.06782609,0.076797344,0.05604258,0.18459667,1,1,0.9987
1894900.0,4.0,228.0,0.04162063,0.06486225,0.83281285,0.060704254,0.05679306,0.11033445,0.061110266,0.12451385,0.04453359,0.19435038,0.0652772,0.07391131,0.09151083,0.17766504,1,1,0.9102
1150000.0,4.0,15.0,0.019902924,0.031017771,0.9200499,0.02902943,0.0640083,0.12435182,0.06887398,0.14033264,0.050191335,0.17669308,0.073570296,0.08330132,0.060788836,0.15788837,1,1,0.8929
44999.0,4.0,28.0,0.0416226,0.06486718,0.8328025,0.06070777,0.0640083,0.12435182,0.06887398,0.14033264,0.050191335,0.17669308,0.073570296,0.08330132,0.060788836,0.15788837,1,1,0.8261
125000.0,3.0,3.0,0.6216129,0.10598213,0.17422085,0.098184146,0.05282343,0.10262247,0.05683888,0.11581078,0.041420855,0.25066245,0.09566243,0.06874517,0.05016654,0.165247,1,0,0.3535
44000.0,4.0,440.0,0.15274546,0.23804055,0.38643283,0.22278118,0.05103967,0.09915708,0.08868737,0.11190004,0.04002214,0.20843004,0.058664322,0.06642376,0.048472498,0.2272031,1,1,0.8196
2399000.0,4.0,1022.0,0.016953312,0.026420414,0.9318996,0.024726672,0.1397598,0.063004896,0.09929595,0.17819114,0.046908166,0.13241185,0.058743604,0.106526084,0.030807476,0.14435107,0,0,0.6593
189000.0,4.0,1533.0,0.15274546,0.23804055,0.38643283,0.22278118,0.059010383,0.11464214,0.10253678,0.12937513,0.046272278,0.20193818,0.06782576,0.076796964,0.056042302,0.14556007,1,1,0.9124
76900.0,4.0,4.0,0.030519187,0.8477567,0.07721144,0.044512685,0.12271549,0.102623515,0.12673636,0.15075603,0.041421283,0.14581905,0.060715176,0.068745874,0.050167054,0.13030013,1,0,0.4828
